True persona,True name,True surname,Text,Correct,Predicted persona,Predicted surname,Predicted name
http://dati.camera.it/ocd/persona.rdf/p305654,FLORIANA,CASELLATO,CASELLATO F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305654,CASELLATO,FLORIANA
http://dati.camera.it/ocd/persona.rdf/p300398,LUIGI,CASERO,CASERO M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p300398,CASERO,LUIGI
http://dati.camera.it/ocd/persona.rdf/p306226,VINCENZO,CASO,CASO C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p306226,CASO,VINCENZO
http://dati.camera.it/ocd/persona.rdf/p305896,FRANCESCO,CASSANO,CASSANO F F C F C F C F C C F C F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p305525,LAURA,CASTELLI,CASTELLI C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p305525,CASTELLI,LAURA
http://dati.camera.it/ocd/persona.rdf/p301573,GIUSEPPINA,CASTIELLO,CASTIELLO ,True,http://dati.camera.it/ocd/persona.rdf/p301573,CASTIELLO,GIUSEPPINA
http://dati.camera.it/ocd/persona.rdf/p306158,GIUSEPPE,CASTIGLIONE,CASTIGLIONE M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p306158,CASTIGLIONE,GIUSEPPE
http://dati.camera.it/ocd/persona.rdf/p306068,ANTONIO,CASTRICONE,CASTRICONE F F C C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p306068,CASTRICONE,ANTONIO
http://dati.camera.it/ocd/persona.rdf/p305528,IVAN,CATALANO,CATALANO ,True,http://dati.camera.it/ocd/persona.rdf/p305528,CATALANO,IVAN
http://dati.camera.it/ocd/persona.rdf/p305005,MARIO,CATANIA,CATANIA F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305005,CATANIA,MARIO
http://dati.camera.it/ocd/persona.rdf/p300237,FRANCESCO,CATANOSO GENOESE,CATANOSO GENOESE ,True,http://dati.camera.it/ocd/persona.rdf/p300237,CATANOSO GENOESE,FRANCESCO
http://dati.camera.it/ocd/persona.rdf/p302920,MARCO,CAUSI,CAUSI ,True,http://dati.camera.it/ocd/persona.rdf/p302920,CAUSI,MARCO
http://dati.camera.it/ocd/persona.rdf/p306276,ANDREA,CAUSIN,CAUSIN F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p306276,CAUSIN,ANDREA
http://dati.camera.it/ocd/persona.rdf/p305787,ANDREA,CECCONI,CECCONI C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p305787,CECCONI,ANDREA
http://dati.camera.it/ocd/persona.rdf/p302943,SUSANNA,CENNI,CENNI F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p302943,CENNI,SUSANNA
http://dati.camera.it/ocd/persona.rdf/p306149,BRUNO,CENSORE,CENSORE F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p306149,CENSORE,BRUNO
http://dati.camera.it/ocd/persona.rdf/p302950,ELENA,CENTEMERO,CENTEMERO F F C C C C C A F F A A F ,True,http://dati.camera.it/ocd/persona.rdf/p302950,CENTEMERO,ELENA
http://dati.camera.it/ocd/persona.rdf/p302887,ANGELO,CERA,CERA F F C F C F C F C C F C F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p305925,ANTIMO,CESARO,CESARO ANTIMO M M M M M M M M M M M M M CESARO LUIGI F F C F C C A F F A A F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p306292,KHALID,CHAOUKI,CHAOUKI F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p306292,CHAOUKI,KHALID
http://dati.camera.it/ocd/persona.rdf/p305964,GIANFRANCO GIOVANNI,CHIARELLI,CHIARELLI F F C F C C C A F C C C F ,True,http://dati.camera.it/ocd/persona.rdf/p305964,CHIARELLI,GIANFRANCO GIOVANNI
http://dati.camera.it/ocd/persona.rdf/p305535,SILVIA,CHIMIENTI,CHIMIENTI C C F F F F F A F F ,True,http://dati.camera.it/ocd/persona.rdf/p305535,CHIMIENTI,SILVIA
http://dati.camera.it/ocd/persona.rdf/p15080,FABRIZIO,CICCHITTO,CICCHITTO M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p15080,CICCHITTO,FABRIZIO
http://dati.camera.it/ocd/persona.rdf/p306196,ELEONORA,CIMBRO,CIMBRO M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p306196,CIMBRO,ELEONORA
http://dati.camera.it/ocd/persona.rdf/p305694,TIZIANA,CIPRINI,CIPRINI M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p305694,CIPRINI,TIZIANA
http://dati.camera.it/ocd/persona.rdf/p306681,NICOLA,CIRACI',CIRACI’ ,False,,,
http://dati.camera.it/ocd/persona.rdf/p300319,EDMONDO,CIRIELLI,CIRIELLI M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p300319,CIRIELLI,EDMONDO
http://dati.camera.it/ocd/persona.rdf/p306187,GIUSEPPE,CIVATI,CIVATI C F F F F F F F F F F F F ,True,http://dati.camera.it/ocd/persona.rdf/p306187,CIVATI,GIUSEPPE
http://dati.camera.it/ocd/persona.rdf/p305939,LAURA,COCCIA,COCCIA F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305939,COCCIA,LAURA
http://dati.camera.it/ocd/persona.rdf/p302744,MATTEO,COLANINNO,COLANINNO F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p302744,COLANINNO,MATTEO
http://dati.camera.it/ocd/persona.rdf/p306060,ANDREA,COLLETTI,COLLETTI C F F F F F A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p306060,COLLETTI,ANDREA
http://dati.camera.it/ocd/persona.rdf/p305898,VEGA,COLONNESE,COLONNESE C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p305898,COLONNESE,VEGA
http://dati.camera.it/ocd/persona.rdf/p305520,CLAUDIO,COMINARDI,COMINARDI C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p305520,COMINARDI,CLAUDIO
http://dati.camera.it/ocd/persona.rdf/p305534,MIRIAM,COMINELLI,COMINELLI F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305534,COMINELLI,MIRIAM
http://dati.camera.it/ocd/persona.rdf/p305682,PAOLO,COPPOLA,COPPOLA F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305682,COPPOLA,PAOLO
http://dati.camera.it/ocd/persona.rdf/p306031,EMANUELA,CORDA,CORDA C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p306031,CORDA,EMANUELA
http://dati.camera.it/ocd/persona.rdf/p302757,MASSIMO ENRICO,CORSARO,CORSARO C F C F C C C C C C A C F ,True,http://dati.camera.it/ocd/persona.rdf/p302757,CORSARO,MASSIMO ENRICO
http://dati.camera.it/ocd/persona.rdf/p302796,MARIA,COSCIA,COSCIA F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p302796,COSCIA,MARIA
http://dati.camera.it/ocd/persona.rdf/p305588,CELESTINA,COSTANTINO,COSTANTINO ,True,http://dati.camera.it/ocd/persona.rdf/p305588,COSTANTINO,CELESTINA
http://dati.camera.it/ocd/persona.rdf/p306198,PAOLO,COVA,COVA F F C F C F C F C C F C F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p306154,STEFANIA,COVELLO,COVELLO F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p306154,COVELLO,STEFANIA
http://dati.camera.it/ocd/persona.rdf/p305678,EMANUELE,COZZOLINO,COZZOLINO C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p305678,COZZOLINO,EMANUELE
http://dati.camera.it/ocd/persona.rdf/p36130,ROCCO,CRIMI,CRIMI’ F F C F C F C F C C F C F CRIMI ,False,,,
http://dati.camera.it/ocd/persona.rdf/p306022,DAVIDE,CRIPPA,CRIPPA C F F F F F A A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p306022,CRIPPA,DAVIDE
http://dati.camera.it/ocd/persona.rdf/p305644,DIEGO,CRIVELLARI,CRIVELLARI F F C F C F C F C C F C F ,True,http://dati.camera.it/ocd/persona.rdf/p305644,CRIVELLARI,DIEGO
http://dati.camera.it/ocd/persona.rdf/p305993,MAGDA,CULOTTA,CULOTTA ,True,http://dati.camera.it/ocd/persona.rdf/p305993,CULOTTA,MAGDA
http://dati.camera.it/ocd/persona.rdf/p302946,ANTONIO,CUOMO,CUOMO F F C F C F C F C C F C F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p302422,GIOVANNI,CUPERLO,CUPERLO F F C F C F F C C F F ,True,http://dati.camera.it/ocd/persona.rdf/p302422,CUPERLO,GIOVANNI
http://dati.camera.it/ocd/persona.rdf/p306074,TOMMASO,CURRO',CURRO’ F F C F C F C F C C F C F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p306020,FABIANA,DADONE,DADONE M M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p306020,DADONE,FABIANA
http://dati.camera.it/ocd/persona.rdf/p305773,FEDERICA,DAGA,DAGA C F F F F F F A A A F F F ,True,http://dati.camera.it/ocd/persona.rdf/p305773,DAGA,FEDERICA
http://dati.camera.it/ocd/persona.rdf/p302873,LUCIANO,AGOSTINI,D’AGOSTINO F F C C F C F C F C F ,False,,,
