"persona","cognome","nome","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p200045","BARBIERI","SILVIA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200046","BARGI","ALFREDO","19920405","19931124"
"http://dati.camera.it/ocd/persona.rdf/p200051","BASTIANETTO","RENATO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200054","BATTAGLIA","ANTONIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200055","BECCARIA","GIAMPIERO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200056","BECCHELLI","UMBERTO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200058","BEDIN","TINO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200059","BEDONI","MARISA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200060","BELLONI","ANTONIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200061","BENETTON","LUCIANO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200063","BENVENUTI","ROBERTO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200063","BENVENUTI","ROBERTO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200067","BERNASSOLA","ANGELO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200068","BERNINI","CARLO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200071","BERTONI","RAFFAELE","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200077","BETTONI BRANDANI","MONICA","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200077","BETTONI BRANDANI","MONICA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200079","BEVILACQUA","FRANCESCO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200082","BINAGHI","GIOVANNI","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200085","BISCARDI","LUIGI","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200085","BISCARDI","LUIGI","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200088","BO","CARLO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200088","BO","CARLO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200088","BO","CARLO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200091","BOBBIO","NORBERTO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200091","BOBBIO","NORBERTO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200091","BOBBIO","NORBERTO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200093","BODO","GIUSEPPE","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200096","BONANDRINI","VINCENZO","19940415","19940519"
"http://dati.camera.it/ocd/persona.rdf/p200097","BONANSEA","CLAUDIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200100","BONAVITA","MASSIMO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200101","BONFERRONI","FRANCO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200103","BONIVER","MARGHERITA","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200104","BONO","VINCENZA","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200104","BONO","VINCENZA","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200105","BORATTO","ALCIBIADE","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200106","BORGIA","NICOLA SALVATORE","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200108","BOROLI","SILVANO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200111","BORRONI","ROBERTO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200111","BORRONI","ROBERTO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200118","BOSO","ERMINIO ENZO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200118","BOSO","ERMINIO ENZO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200122","BRATINA","DIODATO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200122","BRATINA","DIODATO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200124","BRICCARELLO","GIOVANNA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200126","BRIENZA","GIUSEPPE","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200127","BRIGANDI'","MATTEO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200130","BRUGNETTINI","MASSIMO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200133","BRUNO GANERI","ANTONELLA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200136","BRUTTI","MASSIMO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200136","BRUTTI","MASSIMO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200138","BUCCI","MICHELE ARCANGELO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200141","BUCCIARELLI","ANNA MARIA","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200141","BUCCIARELLI","ANNA MARIA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200143","BUCCIERO","ETTORE","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200144","BUSNELLI","ERMINIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200145","BUTINI","IVO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200145","BUTINI","IVO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200149","CADDEO","ROSSANO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200156","CAMO","GIUSEPPE","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200158","CAMPO","GIOVANNI","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200160","CAMPUS","GIANVITTORIO","19940415","19960508"
