"persona","cognome","nome","info","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p14910","CARELLI","RODOLFO","Laurea in giurisprudenza; insegnante","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14910","CARELLI","RODOLFO","Laurea in giurisprudenza; insegnante","19920422","19940414"
"http://dati.camera.it/ocd/persona.rdf/p14990","CASATI","FRANCESCO","Laurea in lettere; insegnante","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15000","CASTELLINA","LUCIANA","Laurea in giurisprudenza; giornalista.","19920416","19920506"
"http://dati.camera.it/ocd/persona.rdf/p15020","CAVIGLIASSO","PAOLA","Laurea in lettere; insegnante","19870625","19910904"
"http://dati.camera.it/ocd/persona.rdf/p15080","CICCHITTO","FABRIZIO","Laurea in giurisprudenza; dirigente azienda privata","20010525","20060427"
"http://dati.camera.it/ocd/persona.rdf/p15080","CICCHITTO","FABRIZIO","Laurea in giurisprudenza; dirigente azienda privata","20060421","20080428"
"http://dati.camera.it/ocd/persona.rdf/p15080","CICCHITTO","FABRIZIO","Laurea in giurisprudenza","20080422","20130314"
"http://dati.camera.it/ocd/persona.rdf/p15080","CICCHITTO","FABRIZIO","Laurea in giurisprudenza","20130305","20180322"
"http://dati.camera.it/ocd/persona.rdf/p150","ALOI","FORTUNATO","Laurea in filosofia; insegnante.","19940402","19960508"
"http://dati.camera.it/ocd/persona.rdf/p150","ALOI","FORTUNATO","Laurea in filosofia; insegnante.","19960429","20010529"
"http://dati.camera.it/ocd/persona.rdf/p15100","CIRINO POMICINO","PAOLO","Laurea in medicina e chirurgia; pensionato - opinionista di giornali nazionali","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15100","CIRINO POMICINO","PAOLO","Laurea in medicina e chirurgia; pensionato - opinionista di giornali nazionali","19920414","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15100","CIRINO POMICINO","PAOLO","Laurea in medicina e chirurgia; pensionato - opinionista di giornali nazionali","20060421","20080428"
"http://dati.camera.it/ocd/persona.rdf/p15250","COSTA","RAFFAELE","Laurea in giurisprudenza e scienze politiche; avvocato, giornalista.","19870629","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15250","COSTA","RAFFAELE","Laurea in giurisprudenza e scienze politiche; avvocato, giornalista.","19920422","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15250","COSTA","RAFFAELE","Laurea in giurisprudenza e scienze politiche; avvocato, giornalista.","19940405","19960508"
"http://dati.camera.it/ocd/persona.rdf/p15250","COSTA","RAFFAELE","Laurea in giurisprudenza e scienze politiche; avvocato, giornalista.","19960426","20010529"
"http://dati.camera.it/ocd/persona.rdf/p15250","COSTA","RAFFAELE","Laurea in giurisprudenza e scienze politiche; avvocato, giornalista.","20010523","20060427"
"http://dati.camera.it/ocd/persona.rdf/p15270","CRESCO","ANGELO GAETANO","Operaio; sindacalista","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15270","CRESCO","ANGELO GAETANO","Operaio; sindacalista","19920417","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15310","DARIDA","CLELIO","Laurea in giurisprudenza; impiegato.","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15370","DEL DONNO","OLINDO","Laurea in giurisprudenza, lettere, filosofia e teologia; funzionario pubblico","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15390","DE MICHELIS","GIANNI","Laurea in chimica","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15390","DE MICHELIS","GIANNI","Laurea in chimica","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15430","FACCIO","ADELE","Laurea in lettere; pubblicista.","19870702","19900523"
"http://dati.camera.it/ocd/persona.rdf/p15480","FERRARI","MARTE","Sindacalista.","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15480","FERRARI","MARTE","Sindacalista.","19920417","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15510","FORNASARI","GIUSEPPE","Laurea in ingegneria; ingegnere.","19870624","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15600","GIULIARI","FRANCESCO","Laurea in matematica; insegnante","19920421","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15740","LABRIOLA","SILVANO","Laurea in giurisprudenza; docente universitario","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15740","LABRIOLA","SILVANO","Laurea in giurisprudenza; docente universitario","19920421","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15750","LAMORTE","PASQUALE","Impiegato","19870624","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15750","LAMORTE","PASQUALE","Impiegato","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15760","LA PENNA","GIROLAMO","Laurea in scienze politiche; insegnante","19870620","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15760","LA PENNA","GIROLAMO","Laurea in scienze politiche; insegnante","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15790","LECCISI","PINO","Laurea in giurisprudenza; avvocato","19870626","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15790","LECCISI","PINO","Laurea in giurisprudenza; avvocato","19920418","19940414"
"http://dati.camera.it/ocd/persona.rdf/p1580","CERULLO","PIETRO","Laurea in giurisprudenza; insegnante","19940407","19960508"
"http://dati.camera.it/ocd/persona.rdf/p15830","LOMBARDO","ANTONINO","Laurea in giurisprudenza; avvocato","19890921","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15830","LOMBARDO","ANTONINO","Laurea in giurisprudenza; avvocato","19920418","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15850","LUCCHESI","GIUSEPPE","Laurea in scienze politiche; impiegato","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15850","LUCCHESI","GIUSEPPE","Laurea in scienze politiche; impiegato","19920421","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15870","MACCIOTTA","GIORGIO","Laurea in giurisprudenza; insegnante","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15880","MAGRI","LUCIO","Licenza media superiore; giornalista","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15880","MAGRI","LUCIO","Licenza media superiore; giornalista","19920421","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15890","MALVESTIO","PIERGIOVANNI","Laurea in scienze economiche e commerciali; dirigente d'azienda","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15890","MALVESTIO","PIERGIOVANNI","Laurea in scienze economiche e commerciali; dirigente d'azienda","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15910","MANFREDI","MANFREDO","Licenza media superiore; dirigente d'azienda","19870626","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15910","MANFREDI","MANFREDO","Licenza media superiore; dirigente d'azienda","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15920","MANNINO","CALOGERO","Laurea in scienze politiche e giurisprudenza; impiegato","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15920","MANNINO","CALOGERO","Laurea in scienze politiche e giurisprudenza; impiegato","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15920","MANNINO","CALOGERO","Laurea in giurisprudenza, Laurea in scienze politiche;  Avvocato penalista","20080423","20130314"
"http://dati.camera.it/ocd/persona.rdf/p16050","MASTELLA","MARIO CLEMENTE","Laurea in storia e filosofia; giornalista.","19870629","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16050","MASTELLA","MARIO CLEMENTE","Laurea in storia e filosofia; giornalista.","19920418","19940414"
"http://dati.camera.it/ocd/persona.rdf/p16050","MASTELLA","MARIO CLEMENTE","Laurea in storia e filosofia; giornalista.","19940406","19960508"
"http://dati.camera.it/ocd/persona.rdf/p16050","MASTELLA","MARIO CLEMENTE","Laurea in storia e filosofia; giornalista.","19960507","20010529"
"http://dati.camera.it/ocd/persona.rdf/p16050","MASTELLA","MARIO CLEMENTE","Laurea in storia e filosofia; giornalista.","20010526","20060427"
"http://dati.camera.it/ocd/persona.rdf/p16060","MATARRESE","ANTONIO","Laurea in scienze economiche e commerciali; industriale","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16060","MATARRESE","ANTONIO","Laurea in scienze economiche e commerciali; industriale","19920416","19940414"
"http://dati.camera.it/ocd/persona.rdf/p16080","MELLINI","MAURO","Laurea in giurisprudenza; avvocato","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16280","NAPOLI","VITO","Licenza media superiore; giornalista.","19870626","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16280","NAPOLI","VITO","Licenza media superiore; giornalista.","19920414","19940414"
